Дата публикации вакансии,Архивная вакансия,Должностные обязанности,Работодатель,Ссылка на вакансию,Заработная плата от,Заработная плата до,Заработная плата,Город,Название вакансии
2025-02-10,нет,"Обязанности:
• Осуществлять сбор, свод и аналитику статистических показателей в соответствии с утвержденными методиками;
• Консультировать в области статистической деятельности;
• Подготавливать аналитические отчеты, презентации, обзоры, доклады, рекомендации проекты нормативных документов на основе статистических отчетов","ГКУ ЯНАО ""ИАЦ""",https://salehard.superjob.ru/vakansii/analitik-49432635.html,62000,0,62000,Салехард,Аналитик
2025-02-14,нет,"Обязанности:
• Проведение лабораторных испытаний пищевой продукции в аккредитованном испытательном центре Кубанского государственного технологического университета (ИЦ КубГТУ)
• Ведение лабораторных журналов.
Требования:
• Практическое знание и владение методами инструментального анализа, ""мокрая химия"".
• Опыт работы с использованием современного аналитического и испытательного оборудования.
• Аналитический склад ума.
• Стремление к самосовершенствованию.
• Коммуникабельность.
• Творческий подход к решению поставленных задач
Условия:
• Государственное учреждение.
• Полный соцпакет.
• 5-дневная рабочая неделя
• Возможность повышения квалификации за счет организации
• Интервал рабочего времени обсуждается
• Возможность участия в научных исследованиях
• Современное научное оборудование
• Уровень заработной платы обсуждается в зависимости от квалификации",ФБГОУ ВО КубГТУ,https://krasnodar.superjob.ru/vakansii/himik-analitik-50081966.html,35000,0,35000,Краснодар,Химик-аналитик
2025-02-13,нет,"Обязанности:
• Сбор и обработка информации/данных для анализа;
• Проверка расчетов;

• Анализ отклонений и коммуникация с ответственными службами;

• Создание финансовых инструментов/отчетов.
Требования:
• Экономическое образование: знание и опыт управления затратами;
• Умение быстро обрабатывать большой массив информации, автоматизация обработки информации; проведение презентаций результатов обработки информации;
• Опыт работы в 1C.
Условия:
• Мы соблюдаем ТК РФ, оплачиваем 36 календарных дней отпуска, больничный лист оплачиваем.
• Мы комфортно обедаем: для удобства имеется собственная обеденная зона, оборудована необходимой техникой, сотрудник всегда может налить горячий чай, выпить воды, разогреть еду.
• Мы легко добираемся до места работы: предоставляем возможность добираться до и после работы на корпоративном транспорте.
• Мы заботимся о наших сотрудниках: организации, поздравляем сотрудников и их детей с праздниками, дарим подарки, предоставляем скидки на продукцию компании.
• Мы предоставляем уникальные скидки нашим сотрудникам в таких организациях, как Стоматологический центр «МедстоМ», Центр международного коучинга «Исток», Мультицентр «Арлекин», Краевой музыкальный театр, Сеть здравоохранения «РЖД-Медицина» и многих других;
• Мы ведем яркую корпоративную жизнь
• Мы предлагаем уникальное корпоративное обучение и развитие.
САМБЕРИ - ЭТО стабильность и уверенность в завтрашнем дне!","Сеть гипермаркетов ""Самбери""",https://habarovsk.superjob.ru/vakansii/finansovyj-analitik-50193512.html,0,0,не указана,Хабаровск,Финансовый аналитик
2025-02-16,нет,"Главное управление МВД России по Красноярскому краю
(гражданская/вольнонаемная должность)
Обязанности:
• Сбор, обобщение и анализ полученной от структурных подразделений информации
• Подготовка информационных, аналитических материалов, ответов на запросы
Требования:
• Образование высшее, средне-специальное.
• Отсутствие ограничений на работу со сведениями, составляющими государственную тайну.
• Уверенное пользование ПК и оргтехникой, навыки работы (способность к обучению) с программами, создаваемыми для автоматизации рабочих процессов.
• Теоретические и практические навыки в работе офисными программными продуктами (Microsoft: Excel, Word).
• Способность к аналитической работе.
• Способности к самообучению.
• Ответственность, коммуникабельность.
• Рассматриваются кандидаты без опыта работы по специальности
Условия:
• Полный социальный пакет;
• Ежегодный оплачиваемый отпуск в количестве 36 календарных дней;
• Дополнительный оплачиваемый отпуск за стаж работы (до 15 календарных дней) и др.
• Нормированный рабочий день в соответствии с ТК РФ.
• Возможность повышения категории по должности.",Главное управление МВД России по Красноярскому краю,https://krasnoyarsk.superjob.ru/vakansii/analitik-50338068.html,25000,0,25000,Красноярск,"Аналитик (Центр информационных технологий, связи и защиты информации)"
2025-02-11,нет,"Компания ООО «АВТОМАРКЕТ-ГРУПП» («AMG») более 20 лет на рынке авто товаров, специализируется на поставках АКБ, смазочных материалов, автохимии и автокосметики, а также запасных частей для ремонта автомобилей на территориях Донецкой, Луганской, Запорожской, Херсонской обл.
Мы предлагаем Нашим покупателям широкий ассортимент продукции, который может удовлетворить интересы всех потребителей: от крупнейших промышленных предприятий и автопарков до небольших СТО и индивидуального потребителя.
ЕСЛИ ТЫ ЛЮБИШЬ РАБОТАТЬ С ЦИФРАМИ, УМЕЕШЬ СВОДИТЬ И АНАЛИЗИРОВАТЬ ДАННЫЕ, СТРОИТЬ ГРАФИКИ И ПРОГНОЗИРОВАТЬ, т. д.БРО ПОЖАЛОВАТЬ В НАШУ ДРУЖНУЮ КОМАНДУ. ПРЕДЛАГАЕМ ТЕБЕ РЕАЛИЗОВАТЬ СВОЙ ПОТЕНЦИАЛ, ПОЛУЧИТЬ ИНТЕРЕСНУЮ РАБОТУ И ДОСТОЙНОЕ ВОЗНАГРАЖДЕНИЕ ЗА ЕЕ РЕЗУЛЬТАТ!
Мы предлагаем:
• Развитие, как в профессиональной сфере, так и личностных качеств, тренинги, обучение в компании;
• Работу в стабильной и развивающейся компании;
• Своевременная выплата ЗП выше рынка;
• Офисно-выездной характер работы;
• Открытые отношения с руководством компании;
• Предоставление всех необходимых инструментов для работы.
• Месторасположение офиса — г. Макеевка, ул. Автотранспортная 47/1
Обязанности:
• Проведение маркетинговых исследований активности конкурентов, конъюнктуры рынка;
• Проведение ценовых исследований, подготовка рекомендаций на основе результатов;
• Изучение конкурентоспособности аналогичных продуктов на рынке;
• Подготовка стратегии для продвижения продуктов компании;
• Ведение отчетности по результатам исследований
Наши требования:
• Аналогичный опыт в области маркетинга и продаж;
• Навык аналитики большого объема информации;
• Уверенное владение программой Excel;
• Аналитический склад ума, нацеленность на результат, ответственность, коммуникабельность.",АВТОМАРКЕТ,https://makeevka.superjob.ru/vakansii/analitik-marketingovoj-deyatelnosti-50379324.html,80000,0,80000,Макеевка,Аналитик маркетинговой деятельности
2025-02-13,нет,"ЭЛИТ ТРЕЙД – лидер в сфере «Фудсолюшин» на территории сибирского и дальневосточного региона. Компания транслирует сильную корпоративную культуру стимулируя высокие личностные достижения сотрудников.
В 2024 году, финансовый департамент компании ЭЛИТ ТРЕЙД стал финалистом премии «Лучший финансовый департамент» в Москве.
Открываем вакансию финансового аналитика по бюджетированию.
Задачи, какие вам предстоит решать:
• Ежемесячная корректировка бюджетов и отчетов об их исполнении;
• Подготовка управленческой отчетности;
• Участие в процессе усовершенствования процесса бюджетирования компании, внесение предложений по оптимизации процессов и их автоматизации;
• Работа со статьями затрат, аналитические отчеты по запросам, взаимодействовать с другими отделами в процессе бюджетирования и контроля исполнения плана;
• Контроль рационального расходования денежных средств в соответствии с потребностью компании;
• Подготовка презентационных материалов, пояснительных записок по операционной деятельности;
• Участием в планировании оперативных и годовых бюджетов.
Какие компетенции нам важны:
• Продвинутый уровень владения Excel.
• Опыт работы в программе 1C.
• Уверенное владение финансовыми инструментами и методами анализа.
• Умение работать в команде и достигать результатов в условиях динамичной среды.
• Аналитический склад ума, системное мышление, внимательность к мелочам, аккуратность.
Что мы предлагаем:
• Работу в команде, где ценятся ответственность, уважение и честность.
• Возможность работать с разнообразными задачами, качать профессиональные скилы.
• Прозрачную систему мотивации, в которой ты будешь зарабатывать достойно за свои результаты.
• Юридическую безопасность и защиту трудовых отношений.
• Уверенность в будущем и стабильность.
• Современный офис, удобный график работы: 5/2 с 8-30 до 17-00.
• Сильная команда – фундамент компании, поэтому Мы ищем сотрудника, готового усилить наш финансовый отдел, если это про тебя, жми «откликнуться»и добро пожаловать!",Торговый Дом Элит Трейд,https://irkutsk.superjob.ru/vakansii/finansovyj-analitik-50383748.html,70000,75000,70000,Иркутск,Финансовый аналитик
2025-02-14,нет,"В настоящее время наша компания ООО «Сириус» реализует свою деятельность в торгово-розничном и строительном направлениях в Санкт-Петербурге.


В связи с расширением нам требуется Контролер-аналитик
Обязанности:
- Контроль и анализ работы отдела/-ов;
- Контроль занятости сотрудников отдела/-ов;
- Ведение отчетности
- Проверка заявок, смет, отчетов;
- Выполнение поручений руководства;
- Подписание согласований с руководством;

Требования:
- Дисциплинированность, Стрессоустойчивость, честность;
- Умение работать в режиме многозадачности;
- Уверенный пользователь ПК;
- Высокие аналитические способности.
Условия:
- График работы 5/2 с 9:30 до 17:30;
- Оплачиваемый испытательный срок 1 месяц;
- Заработная плата на испытательный срок от 35 000, на постоянной основе от 55 000.

Если вы ищите работу, на которой сможете проявить себя и стать частью дружного коллектива - присылайте свой отклик и мы с вами свяжемся!",Сириус,https://spb.superjob.ru/vakansii/kontroler-otdela-50384098.html,35000,0,35000,Санкт-Петербург,Контролер отдела / Контролер-аналитик
2025-02-11,нет,"Привет! Мы — компания Металл Профиль, лидеры в России по производству тонколистовых кровельных и стеновых материалов. Мы 28 лет на рынке, у нас 18 заводов и более 80 представительств в регионах РФ и странах СНГ.
Приходи к нам работать и развиваться — в Металл Профиль все для этого есть.
Наши преимущества:
Уже 28 лет мы в числе ведущих предприятий отрасли. 90 % клиентов обращаются к нам снова, а это значит, что продукция компании прошла проверку временем.
Неограниченная сфера применения продукции завода.
Обязанности — чем ты будешь заниматься:
• Сбор, консолидация и анализ массивов данных по продажам, покупателям, номенклатуре;
• Расчет, установка и контроль предоставления кредитных лимитов и скидок покупателям;
• Анализ случаев возвратов и отказов;
• Подготовка аналитической и статистической отчетности;
• Контроль кредиторской и дебиторской задолженности.
 
Требования — мы ждем, что у тебя есть
• Знания методов обработки информации и навыки ведения документооборота;
• Отличные знания MS Excel;
• Умение выстраивать BI-отчеты;
• Высшее/неоконченное высшее образование (рассмотрим студентов последних курсов).
 
Условия — что мы предлагаем
• Белую зарплату, прозрачную мотивацию. Фиксированный оклад +100% KPI за выполнение показателей.
• Основательный соцпакет. Оплачиваем мобильный, даем скидки на свою продукцию, дарим подарки детям сотрудников, предоставляем доп. отпуск на знаковые события.
• Помощь с адаптацией. Выделим наставника, проведем обучение от руководства и опытных коллег. У нас открытая и дружелюбная культура — поддерживаем друг друга.
• Быстрый карьерный рост. Мы поможем в развитии навыков и продвижении: составим индивидуальный план, предложим ротации. До 30% ключевых специалистов растут в компании и работают у нас долго (в среднем по 9 лет).
• Обучение и профессиональное развитие. У нас свой корпоративный университет с интересными игровыми курсами. Мы обучаем сами, приглашаем внешних экспертов для выступлений, даем пользоваться библиотекой.
• График работы. Пятидневная неделя с 08:30-17:30.
• Место работы. Верхняя Пышма, Сварщиков, 2.","Компания Металл Профиль, OOO",https://verhnyaya-pishma.superjob.ru/vakansii/veduschij-menedzher-analitik-50392630.html,49000,75000,49000,Верхняя Пышма,Ведущий менеджер-аналитик
2025-02-13,нет,"Компания «АЛЬТ-Икс», которая на рынке уже больше 32 лет и занимается оптовой и розничной продажей лакокрасочных материалов, приглашает в свою команду 1C Аналитика
Актуальные задачи:
• Поддержка системы управления предприятием на платформе 8.3, 1C БУХ (типовая), УТ 11.4 (нетиповая).
• Поддержка пользователей 1C: составление инструкций, обучение, консультации, права пользователей и группы доступа.
• Участие в проектах по внедрению решений на базе 1C (оптимизация, автоматизация управленческого учета).
• Сбор и анализ требований. Разбор ошибок ведения учета. Подготовка ТЗ на доработки по поступившим обращениям, приемка и тестирование выполненных доработок.
• Последующий контроль и тестирование выполненных заявок 1C.
• Оптимизация существующих и внедрение новых бизнес процессов в 1C УТ на основе редакторов блок схем или нотаций
• Работа по настройке пользовательских отчетов с помощью СКД по заявкам
• Небольшие доработки в конфигураторе по существующему функционалу конфигураций 1C
• Настройка и администрирование ТСД на складе
• Настройка ЭДО в 1C, поддержка пользователей ЭДО
• Администрирование и настройка серверов в ЛВС
• Администрирование и настройка коммутационного оборудования
• Администрирование MS SQL Server
• Настройка и поддержка резервного копирования 1C БД
• Администрирование 1C кластера (связь MS SQL и сервера 1C, админская консоль, плагины)
Что мы ждем от кандидата:
• Высшее образование или дополнительное обучение, связанное с системами 1C
• Опыт составления и ведения проектной и технической документации
• Опыт обучения пользователей по работе с настроенными решениями
• Умение настраивать и адаптировать документы, отчеты, справочники в программах 1C под нужды пользователей
• Навыки работы с MS Excel, Word на уровне опытного пользователя
• Нацеленность на результат, энергичность и позитивность
• Желание самореализоваться в профессии
Мы рады предложить Вам следующие условия:
• Мы рады предложить Вам интересную и разнообразную работу в стабильной, успешно развивающейся компании с официальным оформлением и с белой зарплатой.
• Современное оборудованное рабочее место
• Корпоративное обучение, как онлайн, так и оффлайн
• Корпоративные мероприятия
• Достойный уровень заработной платы! Обсуждается на собеседовании с каждым кандидатом индивидуально в зависимости от квалификации и опыта)
• Пятидневную рабочую неделю: понедельник – четверг 09:00-17:00, пятница 09.00-16.00
• Центральный офис находится на территории Раум Парнас.","АЛЬТ-Икс, группа компаний",https://spb.superjob.ru/vakansii/analitik-1s-50395702.html,140000,0,140000,Санкт-Петербург,Аналитик 1С
2025-02-17,нет,"Обязанности:
• Блок Бюджетирование в 1C
• Блок ведение заявок в 1C: заказы поставщику, заказы клиента
• Блок Производство в 1C
Требования:
Образование: высшее образование в области информационных технологий, математики или экономики. Курсы обучения с платформой 1C, основам бухгалтерии и автоматизации бизнес-процессов. 
Опыт работы в 1C: Комплексная Автоматизация (Производство+Розничные продажи) от 3-х лет. 

• Знания и навыки:
• Знание платформы 1C и её конфигураций (1C:Предприятие, 1C:Бухгалтерия, 1C:Управление торговлей, 1C:КА). 
• Понимание бизнес-процессов. Аналитик должен разбираться в специфике учёта, документооборота и других процессов в производстве и торговле.
• Навыки работы с базами данных и знание основ программирования 1C, выгрузки и обработки больших массивов данных из 1C в Excel (Power Pivot, Роwer BI, работа со сводными таблицами).
• Опыт тестирования. Важно уметь проводить тестирование программного обеспечения и описывать ошибки для программистов.
• Опыт взаимодействия с пользователями. Аналитик должен уметь объяснять сложные вопросы простыми словами и обучать сотрудников. 
Коммуникабельность и умение работать в коллективе. Аналитик должен уметь слушать пользователей, задавать правильные вопросы и находить эффективные решения.

Условия:
• Проектная работа, удаленная работа
• Конкретно поставленные задачи от руководителя проекта 
• Трудоустройство, либо работа по ГПХ",Гладышева Ольга Витальевна,https://ufa.superjob.ru/vakansii/analitik-bazy-1c-50395896.html,40000,70000,40000,Уфа,Аналитик базы 1C / Методолог базы 1С
2025-02-13,нет,"Вакансия компании: ООО ""ЦГИЭ""
ООО ""Центр Гигиенической Экспертизы"" осуществляет свою деятельность с 2009 года. Основной вид деятельности, оказание лабораторных услуг в экологическом и санитарном направлениях, для предприятий Кемеровской области.
Обязанности:
• Выполнение лабораторных исследований воды, почвы, донных отложений, на химические показатели.
• Заполнение отчётных форм
Требования:
• Необходим опыт работы в химической лаборатории.
• Опыт работ с оборудованием: ""ТА-Lab"", ""Флюорат-02-2 М"", Фотометр КФК-3-01, и тд.
Условия:
• Деятельность осуществляется в г. Топки. Из г. Кемерово и в г. Кемерово, осуществляется доставка автотранспортом предприятия.
• Лаборатория оснащена современным оборудованием, и квалифицированным персоналом. Предоставляется компьютеризированное рабочее место.
• Персонал обеспечен спецодеждой. Деятельность связана с проведением лабораторных исследований воды, почвы, донных отложений.
• Официальное трудоустройство, официальная зарплата.
• Если Вас заинтересовала наша вакансия, звоните или нажимайте кнопку ""Откликнуться""",Jobers,https://topki.superjob.ru/vakansii/himik-analitik-50396688.html,40000,75000,40000,Топки,Химик-аналитик
2025-02-13,нет,"Обязанности:
• Проверка документации перед подачей заявок по аукциону, котировке, запросу цен и предложений;
• Принятие участия в торгах - контроль всех этапов участия в закупках;
• Работа с площадкой ЕИС;
• Выпуск банковской гарантии;
• Формирование документов о приемке в ЕИС;
• Ведение претенциозной работы по электронным процедурам.
Требования:
• Знание 44 ФЗ, 223 ФЗ;
• Высшее образование (юридическое, экономическое, ГМУ).
Мы – аккредитованная IT-компания и состоим в реестре Министерства цифрового развития, связи и массовых коммуникаций РФ.
Для комфортной работы мы предлагаем:
• График работы 5/2;
• Оформление по ТК РФ;
• Комфортный, оснащенный офис в центре города;
• Работу в дружном профессиональном и амбициозном коллективе;
• Насыщенную корпоративную жизнь (тимбилдинги, корпоративные выезды, конкурсы, новый год, день рождения компании и пр.);
• Профессиональное и карьерное развитие: регулярные развивающие тренинги, семинары, вебинары;
• Корпоративную сотовую связь;
• Отсрочку от армии, как для сотрудника IT-компании (для военнообязанных);
• Всегда для Вас в офисе: чай, кофе.",ДЖИ ЭС КОНСАЛТИНГ,https://yuzhno-sakhalinsk.superjob.ru/vakansii/tendernyj-analitik-49951419.html,75000,0,75000,Южно-Сахалинск,Тендерный аналитик
2025-02-14,нет,"Обязанности:
• Проведение маркетинговых исследований по широкому спектру задач, связанных как с образовтельными услугами, так и с другими сферами (наука, медиамониторинг и т. д.)
• Интернет-аналитика, в том числе – анализ эффективности e-mail рассылок, аудитории ресурсов СПбГУ
• Мониторинг пользовательской активности в CRM
• Анализ и сегментация клиентской базы подразделений СПбГУ
• Мониторинг посещаемости и управление ассортиментом интернет-магазина СПбГУ
• Определение оптимального уровня цен на услуги СПбГУ
• Прогнозирование спроса на услуги СПбГУ
• Конкурентный анализ
• Проведение опросов и анкетирований
Требования:
• Образование высшее (маркетинг, интернет-маркетинг, менеджмент, социология, экономика)
• Приветствуется опыт работы в сфере образования
Необходимые профессиональные навыки и знания:
• Знание основ общего маркетинга, интернет-маркетинга, статистики, социологии
• Навыки проведения маркетинговых исследований, сбора вторичных данных, работы с большими массивами данных, приветствуется опыт с мат. Моделями
• Продвинутый уровень владения Excel, уверенные навыки работы со сводными таблицами и формулами
• Внимательность, ответственность, организованность
• Знание специального ПО: Яндекс Метрика, Brand analytics/Медиалогия, Google Analytics, Tg стат, Excel
• Личные качества: аналитический склад ума, ответственность, умение решать нестандартные задачи
• Преимуществом будет опыт работы с пакетами для обработки статистических данных
Условия:
• Трудоустройство в соответствии с трудовым законодательством РФ (оплачиваются отпускные и больничные). Заключается Бессрочный трудовой договор
• Срок испытания - 3 месяца
• Пятидневная рабочая неделя, с 9:00 до 17:45. Перерыв на обед с 13:00 до 13:45
• Заработная плата на испытательный срок 70 000 рублей до вычета налогов, совокупный доход после испытательного срока по результатам работы
• Место работы: Санкт-Петербург, Университетская набережная, 7-9-11, Отдел аналитики, Управление маркетинга и медиакоммуникаций",ФГБОУ ВО Санкт-Петербургский государственный университет,https://spb.superjob.ru/vakansii/marketolog-analitik-50398890.html,70000,0,70000,Санкт-Петербург,Маркетолог-аналитик
2025-02-17,нет,"Мы — динамично развивающаяся компания в сфере благоустройства территорий и ищем талантливого Специалиста в отдел информационных технологий. Если вы увлечены технологиями, любите решать нестандартные задачи и хотите развиваться в дружной команде, эта вакансия для вас!
Что мы предлагаем:
- Уникальную возможность работать в интересных проектах и участвовать в их реализации.
- Дружный и поддерживающий коллектив, где ваши идеи будут услышаны и оценены.
- Конкурентоспособную зарплату и систему премирования за достижения.
- Возможности для профессионального роста и обучения, включая участие в тренингах и семинарах.
- Корпоративные мероприятия и тимбилдинги для укрепления командного духа.
Чем предстоит заниматься:
- Администрирование системы 1F и разработка новых функций в ней.
- Улучшение системы 1F на основе обратной связи от пользователей.
- Поддержка пользователей и решение возникающих технических проблем.
- Установка, настройка и обновление программного обеспечения.
- Мониторинг состояния систем и сетей, предотвращение возможных сбоев.
- Участие в проектах по модернизации и оптимизации IT-ресурсов.
Наши ожидания от Вас:
- Опыт работы в системном администрировании или программировании от 1 года.
- Знание основ программирование и начальные умения навыкам программирования на 1 и более языках.
- Знание основ работы с офисными программами и более углублённые навыки работы в Excel.
- Знание операционных систем и сетевых технологий будет являться преимуществом.
- Отличные коммуникативные навыки для корректного сбора обратной связи от пользователей.
- Желание учиться и развиваться в сфере информационных технологий.
- Высшее образование в области информационных технологий или смежных областях будет преимуществом.


Присоединяйтесь к нашей команде и станьте ключевым звеном в обеспечении технологического комфорта!
Если вы готовы к новым вызовам и хотите стать частью нашей команды, отправляйте свой отклик.",КОМПАНИЯ СПЛАВ,https://pavlovskiy-posad.superjob.ru/vakansii/sistemnyj-analitik-razrabotchik-1f-50383265.html,0,0,не указана,Павловский Посад,Системный аналитик-разработчик 1F
2025-02-16,нет,"Обязанности: 
• проведение входного контроля сырья;
• проведение испытаний следующими физико-химическими методами: описание, растворение, определение цветности/мутности, титрование (кислотноосновное, окислительно-восстановительное, комплексонометрическое, неводное), ТСХ, определение потери в массе при высушивании, сульфатной золы, тяжелых металлов, определение температуры плавления, поляриметрия, спектрофотометрия, определение воды по К.Фишеру и другие;
• приготовление необходимых растворов, реактивов;
• оформление лабораторных журналов по приготовлению растворов;
• оформление лабораторных журналов по приготовлению растворов;
• оформление протоколов испытаний;
• участие в расследовании OOS/OOTрезультатов;
• обеспечение безопасного проведения работ с соблюдением требований охраны труда, нормативной документации.
 
Требования: 
• высшее профильное (химическое, биотехнологическое, биохимическое, фармацевтическое);
• опыт работы в химико-аналитической лаборатории;
• знание MS Office, 1C ERP;
• высокий уровень знаний и умений в области входного контроля исходного сырья, в области титриметрии, спектрофотометрии, поляриметрии, ТСХ;
• знания нормативной и регуляторной документации;
• знания контроля качества нестерильных и стерильных ЛП.
 
Условия: 
• оформление по ТК РФ с первого дня (г. Зеленоград, ОЭЗ Алабушево);
• график работы: 2/2 с 8.00 – 20.00;
• уровень дохода обсуждается с успешным кандидатом;
• корпоративное обучение, возможность профессионального и карьерного роста;
• корпоративный транспорт (Зеленоград, Истра, Голубое);
• собственная столовая и частичная компенсация питания;
• подарки для сотрудников и детей к значимым датам.",Велфарм-М,https://zelenograd.superjob.ru/vakansii/himik-analitik-otdela-kontrolya-kachestva-50303821.html,0,0,не указана,Зеленоград,Химик-аналитик отдела контроля качества
2025-02-12,нет,"Сеченовский Университет - ведущий медицинский университет России, занимает первое место среди 20 лучших университетов в сфере медицины (рейтинг агентства RAEX), клинический центр Университета входит в пятерку наиболее привлекательных работодателей России (компания Universum).
Сегодня у нас работает 8000 сотрудников, так же учится более 18000 студентов. Сеченовский Университет является участником Программы «Приоритет 2030».
Мы ищем кандидата на должность Химика-аналитика в Лабораторию медицинской химии и тонкого органического синтеза:
В Ваши обязанности будет входить:
• Участие в разработке аналитических методик для контроля качества лекарственных форм – таблетки, капсулы, растворы (спектрометрия, хроматография, титрование, общие фармакопейные методы);
• Участие в разработке научно-технической документации (написание НД, СОП, спецификаций на сырье и материалы, разделов CTD в части своей компетенции);
• Участие в валидации процессов производства (в составе группы по валидации);
• Участие в трансфере аналитических методик (внутренний трансфер, трансфер от сторонних разработчиков, трансфер на контрактные производственные площадки);
• Аналитическое сопровождение фармацевтической разработки, в том числе: установление профиля примесей, количественного определения, растворения, исследование совместимости и стабильности в стрессовых условиях, в условиях ускоренных испытаний и долгосрочных испытаний;
• Проведение валидации аналитических методик;
• Навыки работы на аналитическом оборудовании – ВЭЖХ, ГХ, СФ и др. аналогичное оборудование.
Ждем от кандидата на эту роль:
• Высшее образование по специальностям химик/провизор/биохимик. Научная степень приветствуется;
• Опыт работы в должности химик-аналитика на фармацевтическом производстве, исследовательской лаборатории или в НИИ в должности научного сотрудника;
• Владение английским языком (В2) является преимуществом;
• Знание требований FDA и рекомендаций ICH к разработке лекарственных средств приветствуется;
• Опыт в проведении работ по валидации аналитических методик и составлению валидационных протоколов;
• Опыт работы на аналитическом оборудовании (ВЭЖХ, в том числе с масс-детектированием, ГХ, УФ и ИК спектрометры, Атомно-абсорбционный спектрометр, Капиллярный электрофорез, ионный хроматограф, автоматические титраторы и другое оборудование);
• Знание современных методов фармацевтического анализа и разработки по ГФ, USP, EP, ICH;
• Опыт разработки/доработки аналитических методов в т.ч. с нуля (по данным литературного поиска и существующим методикам);
• Теоретические и практические знания в аналитической химии, органической химии, фармацевтическом анализе.
Сеченовский Университет предлагает сотрудникам лучшие условия для реализации профессиональных компетенций:
• Оформление согласно ТК РФ;
• Адрес места работы: г. Москва, Нахимовский проспект, 45
• График работы пятидневка: 9:00-18:00;
• Обширные возможности профессионального развития, программы повышения квалификации и профессиональной переподготовки;
• Эксклюзивный электронный доступ к Федеральной электронной медицинской библиотеке, Центральной научной медицинской библиотеке и Фундаментальной учебной библиотеке Сеченовского Университета;
• Собственный офис поддержки грантовой активности, помощь в формировании заявок и получении грантов;
• Well being программы для сотрудников: отдых в собственном санатории «Звенигород», бесплатное посещение спортивного комплекса «Буревестник» (бассейн, тренажерный и спортивные залы, спортивные секции), корпоративные мероприятия для сотрудников и детей, корпоративные скидки в фитнесс-клубы;
• Забота о здоровье: оказание медицинской помощи и ежегодная диспансеризация в Клиническом Центре Сеченовского Университета;
• Профсоюз.
Станьте частью международной профессиональной команды Сеченовского Университета!",ФГАОУ ВО Первый МГМУ им. И. М. Сеченова Минздрава России (Сеченовский Университет),https://www.superjob.ru/vakansii/himik-analitik-50404183.html,140000,0,140000,Москва,Химик-аналитик
2025-02-13,нет,"Обязанности:
• Мониторить, проводить анализ и расследование операций Клиента по картам и счетам;
• Проводить служебные расследования в автоматизированных ПО Банка;
• Собирать и анализировать статистику;
• Выявлять новые виды мошенничества, а также участие в улучшении и доработке системы фрод-мониторинга.
Требования:
• Умение качественно работать с большим объемом информации, в том числе в MS Office Excel;
• Усидчивость, внимательность, ответственность, аккуратность;
• Знание основ банковского дела, экономики;
• Знание методов статистического анализа и умение их применять;
• Базовые знания банковских технологий.
Условия:
• Официальное оформление с первого рабочего дня;
• График работы 2/2 или 5/2;
• Бесплатный полис ДМС;
• Отдых летом на море и зимой на горнолыжных курортах при финансовой поддержке от Банка;
• Компенсацию расходов на абонемент в спортзал, детский отдых и изучение английского языка;
• Соц.программы по самым выгодным условиям от Банка: кредит, автокредит, страхование и другие банковские продукты;
• Финансовую поддержку от Банка в различных жизненных ситуациях;
• Участие в корпоративных забегах, турнирах по шахматам, футбольных и волейбольных матчах;
• Свободное общение с Руководством Банка: предлагай любые идеи и реализовывай интересные проекты;
• Путешествия по России, знакомства с новыми людьми, конкурсы и корпоративы – живи яркой корпоративной жизнью!",СОВКОМБАНК,https://obninsk.superjob.ru/vakansii/analitik-50406975.html,0,0,не указана,Обнинск,Аналитик (в отдел транзакционного антифрода)
2025-02-14,нет,"Обязанности:
• Управление ликвидностью в ТП 
• Контроль соблюдения условий договора с Банком России 7.Подготовка предложений по участию в проекте ""Функция РКЦ""
• Взаимодействие с Банком России 3.Оптимизация и автоматизация процессов 
• Управление эффективностью 5.Контроль соблюдения условий договора с Банком России.

Требования:
• Уверенный пользователь компьютера, коммуникабельность, опыт работы в кассовом направлении.",Банк ВТБ,https://nsk.superjob.ru/vakansii/ekspert-analitik-50407756.html,0,0,не указана,Новосибирск,Эксперт-аналитик
